ID,Author,Publication_Date,Title,Source,Volume,Issue,Beginning_Page,Ending_Page,Site_Name,Latitude,Longitude,Start_Date,End_Date,Midpoint_Year,Order,Family,Genus,Species,Common_Name,Adult_Body_Mass_g,Longevity_d,Generation_length_d,Home_Range_km2,Litter_Size,Neonate_Body_Mass_g,Social_Group_Size,Age_Class,Harvest_Status,Monitored,Males_Monitored,Females_Monitored,Mortalities,Known_Mortalities,Total_Harvest,Legal_Harvest,Illegal_Harvest,Vehicle,Poisoning,Agriculture,Train,Fence_Entanglement,Other_Human_Causes,Management,Predation,Disease,Accident_or_Injury,Other_Natural_Causes,Starvation,Weather,Drowning,Other_Animal,Unknown,Grizzly_Bear_Predation,Black_Bear_Predation,Mountain_Lion_Predation,Bobcat_Predation,Wolf_Predation,Coyote_Predation,Wolverine_Predation,Alligator_Predation,Badger_Predation,Domestic_Dog_Predation,Fire_Ants_Predation,Golden_Eagle_Predation,Grey_Fox_Predation,Lynx_Predation,Red_Fox_Predation,Bear_spp_Predation,Eagle_spp_Predation,Felid_spp_Predation,Raptor_spp_Predation,Unknown_Predation,Number_of_Relevant_Predators,Grizzly_Bear_Present,Black_Bear_Present,Mountain_Lion_Present,Bobcat_Present,Wolf_Present,Coyote_Present,Wolverine_Present,Number_of_Ungulates,Number_of_Top_Ungulates,Moose_Present,Elk_Present,Caribou_Present,Mule_Deer_Present,Whitetail_Present,Pronghorn_Present,Bighorn_Present,Number_of_Other_Ungulates_Present,Other_Wild_Ungulates_Present,Human_Footprint_Index,Road_Density,Percent_Forest_Cover,Average_Terrain_Ruggedness
39,Bleich,2017,Ecotypic Variation in Population Dynamics of Reintroduced Bighorn Sheep,The Journal of Wildlife Management,82,1,8,18,Bleich_C,46.72568,-103.48028,2000,2016,2008,Artiodactyla,Bovidae,Ovis,canadensis,Bighorn sheep,74645,8346,2635,16.2,1,4120,NA,Adult,Legal,220,0,220,55,54,1,0,1,0,1,0,0,0,1,0,18,10,5,18,0,0,0,0,1,0,0,15,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,1,NA,NA,1,NA,5,5,0,1,0,1,1,1,1,0,NA,3.427860697,0.069757811,0.025137623,38.23093205
42,Blum,2021,Habitat Selection of Female desert bighorn sheep: tradeoffs associated with reproduction,Thesis: University of Nevada Reno,0,0,1,157,Blum_A,38.03,-117.5,2016,2018,2017,Artiodactyla,Bovidae,Ovis,canadensis,Bighorn sheep,74645,8346,2635,16.2,1,4120,NA,Juvenile,Legal,40,NA,NA,20,12,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,3,2,NA,NA,1,NA,NA,1,NA,4,3,0,0,0,1,0,1,1,1,Feral Horse,2.909611712,0.048254979,0.025401776,120.9499561
61,Cain,2008,Responses of Desert Bighorn Sheep to Removal of Water Sources,Wildlife Monographs,171,1,1,32,Cain_A,32.1916,-113.33148,2002,2005,2004,Artiodactyla,Bovidae,Ovis,canadensis,Bighorn sheep,74645,8346,2635,16.2,1,4120,NA,Adult,Legal,43,0,37,17,8,0,0,0,0,0,0,0,0,0,0,3,1,4,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,1,NA,NA,1,NA,5,4,0,0,0,1,1,1,1,1,Collared Peccary,1.731890516,0.013000634,0,66.62084171
62,Cain,2019,Survival and Cause-Specific Mortality of Desert Bighorn Sheep Lambs,The Journal of Wildlife Management,83,2,251,259,Cain_B,31.60299,-108.92584,2012,2014,2013,Artiodactyla,Bovidae,Ovis,canadensis,Bighorn sheep,74645,8346,2635,16.2,1,4120,NA,Juvenile,Legal,26,15,11,14,13,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,0,1,0,0,5,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,NA,NA,1,NA,NA,1,NA,5,4,0,0,0,1,1,1,1,1,Collared Peccary,3.543915479,0.039192789,0.0951494,131.1943338
67,Cassirer,2007,Dynamics of Pneumonia in a Bighorn Sheep Metapopulation,The Journal of Wildlife Management,71,4,1080,1088,Cassirer_A,45.9087,-116.95612,1997,2003,2000,Artiodactyla,Bovidae,Ovis,canadensis,Bighorn sheep,74645,8346,2635,16.2,1,4120,NA,Adult,Legal,151,39,112,49,49,3,2,1,1,0,0,0,0,0,0,13,21,11,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,1,NA,NA,1,NA,5,5,1,1,0,1,1,0,1,0,NA,1.915148427,0.049617745,0.151796615,320.3606879
82,Daily,2020,"Survival, Social Behavior, And Habitat Selection of Desert Bighorn Sheep at Black Gap Wildlife Management Area, Texas",Thesis: Sul Ross State University,0,0,1,77,Daily_A,29.594604,-102.921865,2017,2019,2018,Artiodactyla,Bovidae,Ovis,canadensis,Bighorn sheep,74645,8346,2635,16.2,1,4120,NA,Adult,Legal,30,8,22,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,1,NA,NA,1,NA,4,4,0,0,0,1,1,1,1,0,NA,3.608230348,0.0230732,0.011131359,145.788444
84,DeCesare,2002,Movement and resource selection of recolonizing bighorn sheep on western Montana,Thesis: University of Montata,0,0,1,80,DeCesare_A,46.72742,-113.44547,2001,2002,2002,Artiodactyla,Bovidae,Ovis,canadensis,Bighorn sheep,74645,8346,2635,16.2,1,4120,NA,Adult,Legal,19,5,14,6,6,0,0,0,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,NA,NA,1,NA,NA,1,NA,5,5,1,1,0,1,1,0,1,0,NA,4.462038217,0.14816138,0.421755451,286.8955275
124,Gammons,2021,Predation impedes recovery of Sierra Nevada bighorn sheep,California Fish and Wildlife Special Issue,0,0,444,470,Gammons_A,36.52971,-118.19524,2002,2019,2011,Artiodactyla,Bovidae,Ovis,canadensis,Bighorn sheep,74645,8346,2635,16.2,1,4120,NA,Adult,Illegal,158,0,158,78,54,0,0,0,0,0,0,0,0,0,0,40,0,10,3,1,0,0,0,24,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,NA,NA,1,NA,NA,1,NA,2,2,0,0,0,1,0,0,1,0,NA,1.290589584,0.031048132,0.197853346,426.5758362
139,Grigg,2017,Assessing timing and causes of neonatal lamb losses in a bighorn sheep herd via use of vaginal implant transmitters,Journal of Wildlife Diseases,53,3,596,601,Grigg_A,39.08539,-106.17883,2013,2013,2013,Artiodactyla,Bovidae,Ovis,canadensis,Bighorn sheep,74645,8346,2635,16.2,1,4120,NA,Juvenile,Legal,15,NA,NA,15,12,0,0,0,0,0,0,0,0,0,0,1,10,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,1,NA,NA,1,NA,4,4,0,1,0,1,1,0,1,0,NA,3.427735369,0.101069624,0.379468797,303.7101466
201,Jokinen,2008,Evaluating Survival and Demography of a Bighorn Sheep Population,Bienn Symp North Wild Sheep and Goat Counc,16,0,138,159,Jokinen_A,49.47178,-113.97281,2003,2005,2004,Artiodactyla,Bovidae,Ovis,canadensis,Bighorn sheep,74645,8346,2635,16.2,1,4120,NA,Adult,Legal,30,0,30,11,10,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,NA,NA,1,NA,NA,1,NA,6,5,1,1,0,1,1,0,1,1,Mountain Goat,5.405704826,0.086119478,0.305589713,197.683836
